time,wx (rad/s),wy (rad/s),wz (rad/s)
15.369,-0.63,0.67,-2.13
15.372,-0.62,0.75,-2.13
15.374,-0.62,0.82,-2.12
15.375,-0.62,0.9,-2.11
15.377,-0.61,0.98,-2.11
15.38,-0.61,1.06,-2.11
15.384,-0.62,1.15,-2.1
15.386,-0.63,1.23,-2.1
15.389,-0.65,1.33,-2.1
15.392,-0.66,1.42,-2.11
15.393,-0.68,1.51,-2.11
15.396,-0.69,1.61,-2.11
15.398,-0.69,1.7,-2.11
15.4,-0.69,1.79,-2.11
15.402,-0.69,1.88,-2.12
15.404,-0.67,1.98,-2.12
15.409,-0.65,2.09,-2.12
15.41,-0.63,2.2,-2.11
15.412,-0.6,2.31,-2.11
15.414,-0.58,2.43,-2.1
15.416,-0.56,2.56,-2.1
15.42,-0.54,2.69,-2.09
15.422,-0.53,2.82,-2.09
15.423,-0.51,2.96,-2.09
15.426,-0.5,3.11,-2.09
15.429,-0.5,3.25,-2.09
15.432,-0.5,3.38,-2.09
15.434,-0.51,3.5,-2.11
15.436,-0.53,3.58,-2.12
15.438,-0.57,3.63,-2.14
15.44,-0.61,3.65,-2.16
15.444,-0.67,3.62,-2.17
15.446,-0.74,3.57,-2.18
15.447,-0.82,3.48,-2.18
15.449,-0.89,3.38,-2.17
15.452,-0.97,3.27,-2.16
15.461,-1.04,3.16,-2.14
15.461,-1.1,3.04,-2.11
15.461,-1.14,2.95,-2.07
15.461,-1.17,2.86,-2.03
15.47,-1.17,2.78,-1.99
15.47,-1.17,2.71,-1.93
15.47,-1.14,2.67,-1.87
15.471,-1.11,2.64,-1.81
15.477,-1.08,2.63,-1.75
15.478,-1.04,2.63,-1.7
15.479,-1,2.64,-1.65
15.482,-0.97,2.66,-1.61
15.484,-0.93,2.68,-1.57
15.486,-0.9,2.7,-1.54
15.488,-0.87,2.71,-1.52
15.492,-0.84,2.72,-1.5
15.493,-0.82,2.71,-1.48
15.495,-0.81,2.68,-1.47
15.498,-0.8,2.64,-1.47
15.5,-0.79,2.59,-1.46
15.504,-0.81,2.53,-1.46
15.507,-0.82,2.45,-1.45
15.508,-0.84,2.38,-1.43
15.509,-0.87,2.31,-1.41
15.512,-0.89,2.26,-1.36
15.515,-0.92,2.2,-1.31
15.518,-0.94,2.15,-1.25
15.52,-0.97,2.1,-1.17
15.524,-0.99,2.06,-1.08
15.524,-1,2.04,-0.97
15.528,-1,2.03,-0.86
15.53,-0.98,2.03,-0.73
15.531,-0.95,2.05,-0.6
15.534,-0.91,2.08,-0.47
15.537,-0.85,2.11,-0.33
15.54,-0.79,2.15,-0.2
15.543,-0.72,2.19,-0.08
15.544,-0.65,2.22,0.04
15.546,-0.58,2.25,0.14
15.549,-0.51,2.27,0.24
15.552,-0.45,2.27,0.33
15.555,-0.4,2.27,0.41
15.556,-0.35,2.27,0.49
15.558,-0.31,2.26,0.56
15.56,-0.28,2.25,0.62
15.564,-0.26,2.24,0.68
15.567,-0.25,2.22,0.74
15.568,-0.24,2.21,0.79
15.571,-0.24,2.19,0.84
15.577,-0.23,2.16,0.9
15.578,-0.24,2.14,0.95
15.579,-0.24,2.1,1
15.581,-0.25,2.05,1.05
15.582,-0.25,2.01,1.11
15.584,-0.25,1.96,1.17
15.588,-0.25,1.9,1.24
15.6,-0.25,1.83,1.31
15.601,-0.24,1.77,1.39
15.601,-0.23,1.69,1.47
15.602,-0.21,1.62,1.55
15.602,-0.2,1.54,1.63
15.602,-0.18,1.45,1.71
15.603,-0.16,1.35,1.79
15.607,-0.14,1.26,1.87
15.61,-0.12,1.16,1.94
15.613,-0.09,1.06,2.02
15.614,-0.07,0.95,2.09
15.616,-0.05,0.85,2.15
15.618,-0.03,0.74,2.22
15.62,-0.02,0.63,2.28
15.626,-0.01,0.52,2.34
15.627,0,0.4,2.4
15.628,0,0.29,2.46
15.631,0.01,0.19,2.52
15.632,0.01,0.08,2.58
15.637,0.01,-0.03,2.64
15.639,0.02,-0.14,2.7
15.641,0.02,-0.25,2.76
15.642,0.03,-0.35,2.82
15.645,0.05,-0.46,2.88
15.65,0.06,-0.58,2.94
15.65,0.07,-0.69,3
15.653,0.08,-0.8,3.06
15.655,0.1,-0.91,3.11
15.657,0.12,-1.02,3.16
15.66,0.14,-1.12,3.21
15.664,0.16,-1.22,3.26
15.664,0.18,-1.31,3.31
15.667,0.2,-1.4,3.35
15.669,0.22,-1.49,3.4
15.674,0.24,-1.56,3.44
15.675,0.26,-1.64,3.49
15.678,0.28,-1.71,3.53
15.678,0.3,-1.78,3.57
15.682,0.32,-1.84,3.61
15.683,0.35,-1.89,3.66
15.685,0.37,-1.94,3.7
15.688,0.39,-1.99,3.74
15.691,0.42,-2.02,3.78
15.693,0.45,-2.06,3.82
15.696,0.48,-2.09,3.87
15.699,0.5,-2.12,3.91
15.7,0.54,-2.14,3.95
15.702,0.57,-2.16,3.99
15.704,0.6,-2.17,4.03
15.711,0.64,-2.18,4.08
15.712,0.67,-2.19,4.11
15.712,0.7,-2.2,4.15
15.716,0.73,-2.2,4.19
15.717,0.76,-2.2,4.23
15.721,0.79,-2.19,4.27
15.733,0.82,-2.18,4.31
15.734,0.85,-2.17,4.34
15.734,0.87,-2.15,4.38
15.735,0.89,-2.13,4.42
15.735,0.92,-2.1,4.46
15.735,0.95,-2.06,4.5
15.736,0.98,-2.02,4.54
15.739,1,-1.98,4.59
15.741,1.03,-1.93,4.63
15.744,1.06,-1.88,4.67
15.747,1.09,-1.83,4.72
15.748,1.11,-1.78,4.76
15.751,1.14,-1.73,4.81
15.755,1.16,-1.67,4.85
15.757,1.18,-1.62,4.89
15.76,1.2,-1.57,4.94
15.761,1.21,-1.52,4.98
15.763,1.22,-1.48,5.02
15.766,1.22,-1.45,5.06
15.769,1.21,-1.45,5.08
15.772,1.2,-1.46,5.11
15.775,1.17,-1.46,5.14
15.776,1.16,-1.47,5.16
15.778,1.14,-1.45,5.21
15.781,1.14,-1.43,5.25
15.784,1.16,-1.38,5.31
15.784,1.19,-1.32,5.36
15.787,1.22,-1.26,5.41
15.789,1.26,-1.23,5.45
15.794,1.3,-1.2,5.47
15.795,1.33,-1.2,5.47
15.797,1.35,-1.22,5.47
15.798,1.37,-1.23,5.45
15.801,1.38,-1.24,5.44
15.805,1.37,-1.26,5.41
15.808,1.36,-1.25,5.39
15.808,1.34,-1.24,5.38
15.811,1.32,-1.23,5.36
15.813,1.29,-1.22,5.35
15.817,1.26,-1.22,5.34
15.819,1.23,-1.23,5.33
15.821,1.19,-1.25,5.31
15.823,1.16,-1.28,5.29
15.825,1.14,-1.31,5.27
15.829,1.11,-1.35,5.25
15.832,1.08,-1.39,5.24
15.833,1.05,-1.44,5.22
15.835,1.03,-1.48,5.21
15.838,1,-1.52,5.2
15.844,0.98,-1.55,5.19
15.844,0.96,-1.58,5.18
15.845,0.94,-1.61,5.16
15.846,0.93,-1.63,5.15
15.849,0.91,-1.66,5.12
15.852,0.91,-1.68,5.09
15.861,0.9,-1.7,5.04
15.862,0.9,-1.72,4.98
15.862,0.89,-1.74,4.91
15.862,0.89,-1.74,4.83
15.864,0.89,-1.73,4.74
15.867,0.89,-1.72,4.64
15.868,0.88,-1.68,4.54
15.871,0.88,-1.65,4.45
15.873,0.88,-1.6,4.34
15.876,0.87,-1.56,4.24
15.879,0.86,-1.51,4.13
15.881,0.85,-1.47,4.02
15.883,0.83,-1.43,3.91
15.886,0.8,-1.39,3.79
15.89,0.77,-1.35,3.67
15.892,0.72,-1.3,3.55
15.894,0.67,-1.25,3.41
15.895,0.61,-1.18,3.27
15.898,0.55,-1.11,3.11
15.901,0.49,-1.02,2.94
15.903,0.42,-0.93,2.76
15.905,0.35,-0.83,2.57
15.908,0.29,-0.73,2.36
15.91,0.23,-0.62,2.15
15.914,0.17,-0.52,1.93
15.916,0.12,-0.42,1.69
15.916,0.09,-0.32,1.45
15.92,0.05,-0.25,1.2
15.922,0.03,-0.19,0.94
15.925,0.02,-0.16,0.68
15.927,0.01,-0.14,0.41
15.93,0,-0.15,0.16
15.93,-0.02,-0.18,-0.09
15.934,-0.04,-0.22,-0.33
15.938,-0.07,-0.28,-0.56
15.939,-0.11,-0.34,-0.76
15.942,-0.15,-0.41,-0.96
15.943,-0.2,-0.48,-1.14
15.948,-0.26,-0.55,-1.31
15.95,-0.32,-0.62,-1.47
15.95,-0.37,-0.68,-1.62
15.953,-0.43,-0.74,-1.76
15.955,-0.47,-0.8,-1.89
15.958,-0.51,-0.86,-2.01
15.962,-0.54,-0.91,-2.12
15.964,-0.56,-0.96,-2.22
15.964,-0.58,-1,-2.31
15.968,-0.59,-1.02,-2.38
15.97,-0.59,-1.05,-2.45
15.975,-0.6,-1.07,-2.5
15.976,-0.6,-1.07,-2.54
15.976,-0.6,-1.07,-2.57
15.979,-0.6,-1.07,-2.59
15.981,-0.6,-1.06,-2.6
15.985,-0.6,-1.04,-2.6
15.987,-0.61,-1.02,-2.6
15.988,-0.62,-0.99,-2.58
15.995,-0.64,-0.95,-2.56
15.995,-0.66,-0.9,-2.53
15.997,-0.68,-0.84,-2.48
15.999,-0.71,-0.77,-2.42
16,-0.74,-0.69,-2.33
16.004,-0.79,-0.59,-2.23
16.018,-0.83,-0.46,-2.08
16.02,-0.86,-0.28,-1.87
16.02,-0.85,-0.03,-1.6
16.021,-0.79,0.27,-1.29
16.021,-0.71,0.6,-0.95
16.021,-0.62,0.86,-0.63
16.021,-0.52,1,-0.39
16.026,-0.45,0.96,-0.28
16.026,-0.4,0.78,-0.29
16.027,-0.36,0.53,-0.42
16.029,-0.34,0.3,-0.64
16.034,-0.34,0.18,-0.9
16.036,-0.39,0.18,-1.19
16.036,-0.47,0.27,-1.47
16.041,-0.59,0.4,-1.74
16.042,-0.72,0.51,-1.97
16.045,-0.84,0.55,-2.16
16.049,-0.92,0.53,-2.32
16.05,-0.98,0.42,-2.46
16.052,-1.01,0.24,-2.57
16.054,-1.04,0.01,-2.68
16.059,-1.07,-0.25,-2.76
16.059,-1.1,-0.51,-2.8
16.062,-1.15,-0.74,-2.81
16.063,-1.21,-0.95,-2.77
16.066,-1.26,-1.11,-2.69
16.071,-1.3,-1.22,-2.58
16.074,-1.31,-1.29,-2.46
16.075,-1.29,-1.31,-2.33
16.075,-1.24,-1.31,-2.21
16.08,-1.17,-1.29,-2.12
16.082,-1.08,-1.26,-2.04
16.084,-0.97,-1.22,-1.99
16.086,-0.86,-1.2,-1.97
16.088,-0.77,-1.17,-1.96
16.09,-0.69,-1.14,-1.96
16.093,-0.65,-1.1,-1.97
16.097,-0.63,-1.06,-1.97
16.097,-0.63,-1.01,-1.98
16.101,-0.66,-0.95,-1.97
16.103,-0.69,-0.89,-1.94
16.106,-0.73,-0.81,-1.89
16.109,-0.76,-0.74,-1.82
16.109,-0.79,-0.65,-1.74
16.112,-0.8,-0.57,-1.64
16.115,-0.82,-0.48,-1.54
16.119,-0.82,-0.39,-1.43
16.121,-0.81,-0.3,-1.34
16.122,-0.81,-0.21,-1.25
16.125,-0.82,-0.12,-1.18
16.127,-0.83,-0.03,-1.11
16.13,-0.84,0.06,-1.06
16.131,-0.85,0.16,-1.01
16.133,-0.86,0.25,-0.96
16.135,-0.88,0.35,-0.92
16.139,-0.89,0.45,-0.87
16.144,-0.89,0.54,-0.83
16.145,-0.89,0.62,-0.78
16.145,-0.89,0.7,-0.74
16.147,-0.89,0.76,-0.7
16.149,-0.89,0.81,-0.67
16.153,-0.89,0.84,-0.65
16.167,-0.89,0.86,-0.62
16.168,-0.9,0.86,-0.61
16.168,-0.9,0.86,-0.6
16.169,-0.9,0.86,-0.59
16.169,-0.91,0.86,-0.58
16.169,-0.91,0.86,-0.57
16.169,-0.91,0.86,-0.57
16.171,-0.9,0.85,-0.57
16.174,-0.88,0.82,-0.58
16.178,-0.85,0.78,-0.59
16.18,-0.82,0.72,-0.6
16.181,-0.77,0.63,-0.62
16.184,-0.72,0.53,-0.63
16.187,-0.68,0.41,-0.66
16.192,-0.63,0.29,-0.67
16.192,-0.6,0.17,-0.69
16.194,-0.57,0.05,-0.7
16.197,-0.55,-0.06,-0.72
16.198,-0.55,-0.15,-0.72
16.203,-0.54,-0.22,-0.73
16.204,-0.55,-0.27,-0.73
16.206,-0.56,-0.31,-0.73
16.208,-0.57,-0.33,-0.73
16.211,-0.57,-0.34,-0.73
16.215,-0.57,-0.33,-0.73
16.215,-0.57,-0.32,-0.73
16.218,-0.56,-0.3,-0.72
16.22,-0.55,-0.26,-0.72
16.226,-0.55,-0.23,-0.71
16.227,-0.54,-0.18,-0.7
16.228,-0.53,-0.13,-0.68
16.23,-0.53,-0.07,-0.67
16.232,-0.53,-0.02,-0.65
16.237,-0.52,0.05,-0.63
16.238,-0.52,0.1,-0.6
16.241,-0.52,0.16,-0.58
16.244,-0.52,0.22,-0.55
16.244,-0.52,0.27,-0.53
16.247,-0.53,0.33,-0.5
16.251,-0.52,0.38,-0.47
16.251,-0.52,0.44,-0.44
16.254,-0.52,0.5,-0.41
16.257,-0.51,0.56,-0.39
16.259,-0.51,0.62,-0.36
16.262,-0.51,0.67,-0.34
16.264,-0.5,0.71,-0.32
16.266,-0.5,0.74,-0.31
16.268,-0.5,0.75,-0.29
16.272,-0.49,0.76,-0.28
16.278,-0.48,0.75,-0.27
16.278,-0.47,0.74,-0.26
16.279,-0.46,0.73,-0.25
16.281,-0.45,0.72,-0.25
16.283,-0.44,0.7,-0.25
16.286,-0.43,0.68,-0.25
16.287,-0.43,0.67,-0.26
16.294,-0.42,0.65,-0.27
16.295,-0.41,0.63,-0.28
16.295,-0.41,0.61,-0.29
16.299,-0.41,0.59,-0.31
16.3,-0.41,0.57,-0.32
16.302,-0.41,0.55,-0.33
16.304,-0.41,0.54,-0.34
16.306,-0.41,0.52,-0.35
16.31,-0.4,0.5,-0.35
16.313,-0.4,0.48,-0.36
16.314,-0.4,0.46,-0.36
16.316,-0.4,0.43,-0.37
16.32,-0.39,0.4,-0.37
16.322,-0.39,0.38,-0.37
16.324,-0.39,0.36,-0.37
16.326,-0.38,0.35,-0.37
16.328,-0.38,0.33,-0.37
16.333,-0.38,0.33,-0.37
16.337,-0.38,0.32,-0.36
16.337,-0.38,0.32,-0.36
16.337,-0.38,0.32,-0.35
16.342,-0.38,0.33,-0.35
16.344,-0.38,0.34,-0.35
16.347,-0.38,0.35,-0.35
16.349,-0.38,0.37,-0.35
16.349,-0.38,0.38,-0.35
16.353,-0.38,0.39,-0.36
16.356,-0.38,0.4,-0.36
16.359,-0.38,0.42,-0.36
16.362,-0.37,0.43,-0.37
16.362,-0.37,0.43,-0.37
16.365,-0.36,0.43,-0.36
16.369,-0.36,0.42,-0.36
16.372,-0.36,0.41,-0.36
16.374,-0.35,0.38,-0.35
16.375,-0.35,0.36,-0.34
16.376,-0.35,0.33,-0.34
16.38,-0.35,0.3,-0.33
16.383,-0.34,0.28,-0.33
16.385,-0.34,0.26,-0.34
16.386,-0.33,0.25,-0.34
16.394,-0.34,0.24,-0.35
16.395,-0.34,0.22,-0.36
16.395,-0.34,0.21,-0.38
16.402,-0.34,0.21,-0.39
16.402,-0.34,0.21,-0.4
16.403,-0.35,0.19,-0.41
16.404,-0.36,0.19,-0.41
16.42,-0.36,0.18,-0.42
16.422,-0.37,0.17,-0.43
16.423,-0.37,0.17,-0.43
16.423,-0.37,0.16,-0.44
16.424,-0.37,0.15,-0.44
16.424,-0.38,0.15,-0.44
16.425,-0.38,0.15,-0.43
16.425,-0.38,0.15,-0.43
16.426,-0.38,0.15,-0.43
16.428,-0.38,0.14,-0.43
16.43,-0.39,0.14,-0.42
16.432,-0.39,0.14,-0.42
16.435,-0.39,0.14,-0.42
16.437,-0.39,0.14,-0.41
16.442,-0.4,0.15,-0.41
16.445,-0.4,0.16,-0.41
16.445,-0.41,0.17,-0.41
16.448,-0.42,0.18,-0.41
16.449,-0.42,0.21,-0.41
16.452,-0.42,0.22,-0.42
16.455,-0.43,0.25,-0.42
16.455,-0.43,0.27,-0.43
16.458,-0.44,0.29,-0.43
16.461,-0.44,0.31,-0.44
16.465,-0.45,0.33,-0.45
16.468,-0.45,0.36,-0.47
16.469,-0.46,0.38,-0.48
16.47,-0.46,0.41,-0.5
16.472,-0.47,0.43,-0.51
16.477,-0.47,0.45,-0.53
16.479,-0.47,0.47,-0.55
16.481,-0.48,0.48,-0.57
16.483,-0.48,0.49,-0.59
16.486,-0.48,0.5,-0.62
16.489,-0.48,0.5,-0.64
16.494,-0.48,0.51,-0.67
16.494,-0.48,0.51,-0.7
16.494,-0.48,0.51,-0.72
16.496,-0.48,0.51,-0.75
16.501,-0.48,0.51,-0.78
16.503,-0.48,0.52,-0.81
16.504,-0.48,0.52,-0.85
16.51,-0.47,0.52,-0.88
16.51,-0.48,0.53,-0.91
16.513,-0.47,0.53,-0.94
16.515,-0.48,0.53,-0.97
16.516,-0.48,0.53,-1
16.518,-0.48,0.53,-1.04
16.521,-0.49,0.51,-1.07
16.533,-0.5,0.5,-1.1
16.534,-0.5,0.48,-1.12
16.534,-0.5,0.47,-1.15
16.534,-0.5,0.46,-1.17
16.534,-0.5,0.45,-1.2
16.536,-0.5,0.43,-1.22
16.54,-0.5,0.42,-1.25
16.541,-0.5,0.41,-1.27
16.544,-0.5,0.41,-1.29
16.545,-0.5,0.41,-1.31
16.548,-0.5,0.41,-1.33
16.551,-0.49,0.4,-1.35
16.552,-0.49,0.4,-1.37
16.554,-0.5,0.4,-1.39
16.557,-0.5,0.39,-1.41
16.561,-0.5,0.38,-1.43
16.565,-0.5,0.38,-1.45
16.565,-0.51,0.37,-1.47
16.567,-0.5,0.37,-1.48
16.569,-0.51,0.36,-1.5
16.572,-0.51,0.36,-1.52
16.576,-0.5,0.35,-1.54
16.577,-0.5,0.34,-1.56
16.579,-0.49,0.33,-1.58
16.582,-0.48,0.32,-1.6
16.585,-0.48,0.31,-1.62
16.588,-0.47,0.3,-1.64
16.589,-0.47,0.29,-1.66
16.592,-0.47,0.28,-1.68
16.593,-0.47,0.27,-1.7
16.597,-0.48,0.26,-1.72
16.6,-0.48,0.25,-1.75
16.601,-0.49,0.24,-1.77
16.604,-0.49,0.23,-1.79
16.605,-0.49,0.22,-1.82
16.61,-0.48,0.21,-1.84
16.611,-0.48,0.21,-1.86
16.612,-0.47,0.2,-1.89
16.615,-0.46,0.2,-1.91
16.617,-0.45,0.2,-1.93
16.623,-0.44,0.21,-1.95
16.623,-0.43,0.21,-1.97
16.626,-0.41,0.22,-1.98
16.628,-0.41,0.23,-2
16.629,-0.4,0.24,-2.01
16.634,-0.39,0.25,-2.02
16.636,-0.39,0.26,-2.03
16.636,-0.39,0.27,-2.04
16.642,-0.39,0.28,-2.04
16.643,-0.39,0.3,-2.04
16.644,-0.39,0.32,-2.04
16.647,-0.39,0.34,-2.03
16.648,-0.39,0.35,-2.02
16.65,-0.39,0.35,-2.02
16.652,-0.41,0.32,-2.02
16.661,-0.43,0.26,-2.02
16.662,-0.44,0.19,-2.02
16.662,-0.43,0.14,-2
16.663,-0.39,0.1,-1.99
16.665,-0.34,0.06,-1.99
16.668,-0.27,0.05,-2
16.671,-0.2,0.04,-2.01
16.684,-0.15,0.06,-2.04
16.685,-0.13,0.09,-2.08
16.685,-0.14,0.14,-2.12
16.686,-0.18,0.21,-2.16
16.686,-0.23,0.29,-2.19
16.686,-0.3,0.36,-2.22
16.686,-0.36,0.43,-2.26
16.691,-0.4,0.48,-2.29
16.692,-0.43,0.52,-2.33
16.695,-0.44,0.53,-2.36
16.697,-0.42,0.55,-2.38
16.699,-0.4,0.56,-2.4
16.701,-0.37,0.58,-2.42
16.705,-0.35,0.61,-2.43
16.707,-0.33,0.65,-2.45
16.708,-0.32,0.7,-2.47
16.711,-0.32,0.75,-2.49
16.714,-0.32,0.82,-2.51
16.719,-0.34,0.88,-2.54
16.721,-0.36,0.95,-2.57
16.722,-0.39,1.02,-2.6
16.724,-0.42,1.09,-2.62
16.725,-0.44,1.16,-2.65
16.729,-0.46,1.23,-2.67
16.732,-0.48,1.3,-2.69
16.732,-0.47,1.37,-2.7
16.737,-0.47,1.45,-2.71
16.737,-0.44,1.53,-2.72
16.741,-0.42,1.62,-2.73
16.743,-0.39,1.73,-2.74
16.745,-0.35,1.84,-2.76
16.748,-0.32,1.97,-2.78
16.75,-0.27,2.12,-2.8
16.754,-0.24,2.27,-2.83
16.756,-0.22,2.42,-2.86
16.758,-0.19,2.56,-2.9
16.759,-0.19,2.7,-2.96
16.762,-0.2,2.81,-3.02
16.766,-0.23,2.9,-3.08
16.768,-0.29,2.94,-3.14
16.769,-0.35,2.94,-3.19
16.77,-0.42,2.91,-3.21
16.775,-0.49,2.85,-3.2
16.778,-0.56,2.77,-3.16
16.78,-0.63,2.67,-3.08
16.78,-0.72,2.56,-2.98
16.784,-0.8,2.44,-2.85
16.786,-0.89,2.32,-2.71
16.794,-0.97,2.21,-2.57
16.797,-1.04,2.11,-2.43
16.798,-1.1,2.01,-2.3
16.798,-1.14,1.92,-2.2
16.799,-1.15,1.84,-2.12
16.8,-1.15,1.79,-2.05
16.803,-1.14,1.77,-1.99
16.804,-1.09,1.79,-1.94
16.811,-1.04,1.84,-1.89
16.812,-0.99,1.93,-1.85
16.813,-0.94,2.02,-1.82
16.815,-0.88,2.09,-1.79
16.816,-0.83,2.15,-1.78
16.818,-0.79,2.17,-1.79
16.821,-0.74,2.17,-1.8
16.829,-0.7,2.13,-1.82
16.83,-0.67,2.06,-1.85
16.83,-0.66,1.95,-1.88
16.831,-0.66,1.83,-1.91
16.833,-0.67,1.69,-1.94
16.837,-0.7,1.54,-1.95
16.839,-0.74,1.41,-1.96
16.842,-0.78,1.3,-1.95
16.843,-0.81,1.22,-1.93
16.845,-0.84,1.17,-1.88
16.849,-0.86,1.14,-1.8
16.851,-0.85,1.13,-1.7
16.853,-0.83,1.13,-1.58
16.855,-0.8,1.13,-1.44
16.857,-0.75,1.13,-1.27
16.862,-0.69,1.14,-1.1
16.864,-0.61,1.13,-0.91
16.864,-0.53,1.14,-0.72
16.867,-0.44,1.14,-0.53
16.871,-0.34,1.14,-0.34
16.875,-0.24,1.16,-0.15
16.876,-0.15,1.17,0.03
16.876,-0.06,1.19,0.19
16.879,0.02,1.22,0.34
16.882,0.08,1.25,0.48
16.885,0.14,1.29,0.6
16.888,0.18,1.32,0.7
16.891,0.21,1.35,0.8
16.891,0.23,1.38,0.88
16.894,0.24,1.41,0.96
16.898,0.24,1.42,1.03
16.9,0.24,1.42,1.09
16.9,0.24,1.42,1.15
16.904,0.24,1.41,1.2
16.907,0.23,1.37,1.25
16.911,0.23,1.34,1.3
16.911,0.23,1.29,1.35
16.914,0.24,1.23,1.41
16.916,0.25,1.16,1.46
16.918,0.27,1.08,1.52
16.922,0.28,1,1.58
16.927,0.3,0.91,1.64
16.927,0.32,0.82,1.72
16.929,0.35,0.73,1.79
16.93,0.38,0.64,1.87
16.934,0.4,0.54,1.95
16.936,0.43,0.44,2.04
16.937,0.47,0.34,2.12
16.957,0.5,0.25,2.2
16.958,0.54,0.15,2.28
16.959,0.58,0.05,2.36
16.959,0.61,-0.05,2.44
16.959,0.65,-0.15,2.52
16.959,0.68,-0.24,2.6
16.959,0.71,-0.33,2.68
16.96,0.74,-0.42,2.75
16.96,0.76,-0.51,2.84
16.961,0.79,-0.59,2.91
16.964,0.82,-0.68,2.99
16.967,0.84,-0.77,3.07
16.97,0.85,-0.86,3.15
16.975,0.87,-0.96,3.22
16.976,0.89,-1.05,3.3
16.976,0.9,-1.14,3.38
16.978,0.92,-1.23,3.46
16.982,0.93,-1.31,3.54
16.985,0.95,-1.39,3.62
16.985,0.96,-1.46,3.7
16.988,0.98,-1.53,3.78
16.991,1,-1.6,3.85
16.995,1.02,-1.67,3.92
16.996,1.04,-1.74,3.98
16.998,1.06,-1.82,4.04
17,1.09,-1.89,4.09
17.003,1.11,-1.95,4.14
17.007,1.13,-2.01,4.19
17.01,1.15,-2.06,4.24
17.01,1.17,-2.11,4.28
17.013,1.18,-2.17,4.31
17.015,1.2,-2.22,4.35
17.019,1.21,-2.27,4.38
17.021,1.22,-2.32,4.41
17.021,1.24,-2.35,4.44
17.025,1.25,-2.39,4.47
17.026,1.27,-2.42,4.5
17.032,1.28,-2.45,4.52
17.033,1.29,-2.47,4.55
17.033,1.31,-2.49,4.58
17.035,1.33,-2.5,4.62
17.038,1.35,-2.51,4.65
17.05,1.37,-2.52,4.69
17.051,1.4,-2.52,4.73
17.051,1.43,-2.51,4.76
17.051,1.47,-2.51,4.8
17.052,1.5,-2.49,4.84
17.054,1.54,-2.48,4.88
17.056,1.58,-2.46,4.91
17.061,1.62,-2.43,4.95
17.061,1.66,-2.4,4.99
17.062,1.69,-2.37,5.03
17.067,1.71,-2.32,5.06
17.069,1.74,-2.26,5.1
17.069,1.77,-2.2,5.14
17.073,1.79,-2.13,5.17
17.074,1.8,-2.06,5.21
17.078,1.82,-1.99,5.24
17.08,1.83,-1.92,5.28
17.081,1.85,-1.85,5.31
17.085,1.86,-1.78,5.35
17.087,1.86,-1.72,5.38
17.092,1.87,-1.66,5.41
17.092,1.87,-1.61,5.45
17.094,1.87,-1.56,5.48
17.096,1.87,-1.51,5.52
17.099,1.86,-1.47,5.55
17.104,1.85,-1.44,5.59
17.105,1.84,-1.41,5.62
17.108,1.83,-1.39,5.66
17.108,1.82,-1.39,5.69
17.11,1.8,-1.38,5.72
17.115,1.79,-1.39,5.75
17.117,1.77,-1.41,5.78
17.118,1.75,-1.43,5.8
17.122,1.72,-1.47,5.82
17.127,1.7,-1.52,5.84
17.127,1.67,-1.58,5.85
17.127,1.64,-1.65,5.86
17.13,1.6,-1.73,5.86
17.133,1.57,-1.82,5.86
17.134,1.53,-1.91,5.85
17.139,1.49,-2,5.84
17.153,1.45,-2.1,5.81
17.154,1.41,-2.19,5.78
17.154,1.37,-2.28,5.74
17.154,1.33,-2.36,5.69
17.155,1.29,-2.43,5.64
17.155,1.25,-2.48,5.57
17.155,1.21,-2.52,5.51
17.155,1.16,-2.54,5.43
17.159,1.12,-2.55,5.35
17.162,1.08,-2.53,5.26
17.166,1.04,-2.5,5.16
17.166,1,-2.45,5.05
17.169,0.96,-2.38,4.94
17.171,0.93,-2.3,4.82
17.174,0.9,-2.19,4.69
17.176,0.88,-2.08,4.57
17.178,0.86,-1.95,4.43
17.181,0.83,-1.8,4.3
17.183,0.82,-1.64,4.18
17.187,0.8,-1.48,4.05
17.189,0.78,-1.3,3.93
17.192,0.76,-1.13,3.81
17.192,0.74,-0.95,3.68
17.194,0.7,-0.76,3.56
17.2,0.67,-0.57,3.45
17.2,0.63,-0.38,3.33
17.202,0.58,-0.2,3.21
17.204,0.53,-0.02,3.1
17.207,0.47,0.16,2.99
17.211,0.42,0.32,2.88
17.213,0.36,0.49,2.78
17.213,0.31,0.64,2.67
17.218,0.26,0.77,2.55
17.22,0.22,0.89,2.43
17.224,0.19,0.99,2.31
17.225,0.16,1.08,2.18
17.226,0.13,1.16,2.03
17.23,0.11,1.22,1.86
17.231,0.07,1.25,1.67
17.235,0.04,1.27,1.48
17.237,-0.01,1.26,1.27
17.239,-0.06,1.23,1.06
17.244,-0.12,1.18,0.84
17.245,-0.18,1.11,0.62
17.248,-0.25,1.01,0.4
17.25,-0.33,0.89,0.18
17.25,-0.4,0.76,-0.04
17.253,-0.48,0.62,-0.26
17.255,-0.56,0.46,-0.48
17.27,-0.65,0.29,-0.7
17.271,-0.72,0.11,-0.91
17.271,-0.8,-0.07,-1.13
17.272,-0.87,-0.27,-1.36
17.272,-0.94,-0.45,-1.58
17.272,-1,-0.64,-1.8
17.273,-1.05,-0.83,-2.01
17.273,-1.09,-1.01,-2.21
17.277,-1.12,-1.19,-2.4
